Transformer_ID,Hydrogen,Oxigen,Nitrogen,Methane,CO,CO2,Ethylene,Ethane,Acethylene,DBDS,Power factor,Interfacial V,Dielectric rigidity,Water content,Health index,Health_Category,Thermal_Stress_Score,Oil_degradation_score,TDCG,Water_BDV_Ratio
TX_69,23,888,74700,16,914,3420,5,6,0,63.7,0.14,43,47,7,77.8,Good,27,0.25846413540586327,964,0.14893616704391135
TX_70,9,10700,42300,2,308,1970,0,4,0,108,0.38,42,57,9,92.7,Excellent,6,0.26422583956822804,323,0.1578947340720222
TX_71,9,738,56000,10,294,1960,4,17,0,175,0.27,42,56,7,92.7,Excellent,31,0.32493679900987404,334,0.12499999776785718
TX_72,4,408,38700,22,105,1100,7,47,0,168,1.82,43,57,7,89.7,Excellent,76,0.31328504330235657,185,0.12280701538935061
TX_73,8,1060,55300,14,235,1850,6,22,0,113,0.21,42,56,3,92.7,Excellent,42,0.26577561716979153,285,0.05357142761479594
TX_74,7,376,54700,13,205,1780,4,15,0,162,0.29,43,55,4,92.7,Excellent,32,0.30887015926294814,244,0.0727272714049587
TX_75,7,425,50500,9,317,2690,4,15,0,165,0.32,41,55,8,90.2,Excellent,28,0.3270780501195982,352,0.1454545428099174
TX_76,7,15700,46800,2,373,3470,28,0,0,162,0.57,40,51,8,88.8,Good,30,0.34734062753496947,410,0.1568627420222992
TX_77,7,1990,58800,10,154,2210,4,18,0,144,0.3,40,50,1,92.7,Excellent,32,0.3272597809813262,193,0.01999999960000001
TX_78,6,3760,70200,17,277,2200,7,31,0,194,0.48,41,55,3,92.7,Excellent,55,0.34760168731779534,338,0.05454545355371903
TX_79,5,378,53100,16,231,2170,5,22,0,165,0.32,43,54,4,92.7,Excellent,43,0.31576202097570016,279,0.07407407270233199
TX_80,5,17400,53400,4,296,2750,7,0,0,164,0.52,41,55,10,90.2,Excellent,11,0.3289296068000557,312,0.18181817851239676
TX_81,5,22900,51800,0,149,826,10,0,0,12,0.21,40,49,10,96.2,Excellent,10,0.2247168840306438,164,0.20408162848813005
TX_82,5,20400,42200,0,148,820,17,0,0,142,1.02,38,52,9,89.7,Excellent,17,0.3389871713785976,170,0.17307691974852077
TX_83,4,57,31384,5,89,876,2,6,0,76,0.16,38,68,7,94.2,Excellent,13,0.2096335997488727,106,0.10294117495674743
TX_84,4,4740,73200,2,154,1910,8,0,0,7,1.55,40,52,15,95.5,Excellent,10,0.2169397832776847,168,0.2884615329142013
TX_85,4,20200,44700,0,194,2050,66,0,0,144,2.05,37,54,13,85.3,Good,66,0.3451592240749022,264,0.24074073628257897
TX_86,3,15400,46100,0,333,1240,18,0,0,0,1.49,38,35,14,89.5,Excellent,18,0.29145988418637253,354,0.39999998857142893
TX_87,3,20600,42000,0,118,906,18,0,0,127,0.89,37,57,6,92.7,Excellent,18,0.3068594120057481,139,0.10526315604801481
TX_88,3,395,47000,5,47,623,9,11,0,169,3.35,38,54,9,86.7,Good,25,0.36081285593440043,75,0.16666666358024698
TX_89,2,21500,47500,2,106,1040,3,0,0,123,0.28,42,54,4,92.7,Excellent,5,0.2842038069250215,113,0.07407407270233199
TX_90,2,14700,44200,2,297,1780,55,0,0,35,0.8,41,41,14,92.4,Excellent,57,0.27874368740687877,356,0.3414634063057706
TX_91,0,5640,71800,17,305,2200,6,41,0,4.4,0.23,42,55,6,98.5,Excellent,64,0.17759283513773375,369,0.10909090710743806
TX_92,0,21900,48300,2,39,1420,3,7,0,136,0.41,41,56,9,92.7,Excellent,12,0.2986996885545973,51,0.16071428284438782
TX_93,0,21200,44200,0,91,1520,0,0,0,136,0.32,43,50,2,92.7,Excellent,0,0.3046922344996886,91,0.03999999920000002
TX_94,0,25900,49700,0,22,399,0,0,0,120,0.86,39,50,4,92.7,Excellent,0,0.3164797510906016,22,0.07999999840000004
TX_95,0,22900,45300,0,66,553,0,0,0,155,0.37,43,53,5,92.7,Excellent,0,0.31234771652986887,66,0.0943396208615166
TX_96,0,21800,52500,3,78,2180,9,8,0,0,0.41,42,56,6,98.5,Excellent,20,0.1700416559281961,98,0.10714285522959188
TX_97,0,2220,58800,13,131,1520,4,22,0,173,0.55,42,52,4,92.7,Excellent,39,0.33732821285374,170,0.07692307544378701
TX_98,0,944,58700,6,266,3530,8,11,0,153,0.35,40,56,4,90.2,Excellent,25,0.31360469032428184,291,0.07142857015306125
TX_99,0,27000,56600,0,47,480,0,0,0,11,1,43,51,4,98.5,Excellent,0,0.19443839503058108,47,0.0784313710111496
TX_100,0,21600,45800,0,204,2750,5,0,0,9,0.08,43,52,6,96,Excellent,5,0.18818002681871163,209,0.11538461316568052
TX_101,0,30800,58700,0,98,1740,4,0,0,6,0.17,44,53,4,98.5,Excellent,4,0.1738749101603492,102,0.07547169668921327
TX_102,0,21700,45600,0,198,2250,6,0,0,6,0.13,41,55,3,98.5,Excellent,6,0.18100598299892848,204,0.05454545355371903
TX_103,0,8380,30800,0,23,180,0,0,0,1,9.43,37,43,7,85.8,Good,0,0.2786217079515647,23,0.16279069388858852
TX_104,0,27300,55500,0,32,525,0,0,0,1,0.62,40,40,19,96.2,Excellent,0,0.2634823039273462,32,0.4749999881250003
TX_105,0,19300,45700,0,53,481,0,0,0,0,1.24,45,47,6,93.2,Excellent,0,0.19314429889926008,53,0.12765957175192402
TX_106,0,24800,45700,0,81,514,0,0,0,203,1.47,45,55,5,89.7,Excellent,0,0.3382015397810953,81,0.09090908925619838
TX_107,0,22000,44900,0,122,856,8,0,0,136,0.63,41,52,7,92.7,Excellent,8,0.3137820666309357,130,0.13461538202662726
TX_108,0,14300,65700,7,148,1960,3,13,0,0,0.41,37,51,2,98.5,Excellent,23,0.2142811823398536,171,0.0392156855055748
TX_109,18,17600,51700,4,231,1610,0,7,0,55,1,45,49,3,90.4,Excellent,11,0.22933424090172844,260,0.06122448854643901
TX_110,11,1140,63900,7,540,2980,47,0,0,60,8.44,36,50,36,76.3,Good,54,0.33598019784882416,605,0.7199999856000003
TX_111,16,7340,71000,5,548,3170,5,0,0,0,0.36,46,45,8,92.4,Excellent,10,0.19570185398917067,574,0.1777777738271606
TX_112,12,461,54500,3,69,2150,3,8,0,161,0.28,41,57,7,92.7,Excellent,14,0.314018227216621,95,0.12280701538935061
TX_113,4,624,44500,36,232,2580,3,54,0,169,1.16,42,56,8,87.2,Good,93,0.32317670768996926,329,0.1428571403061225
TX_114,114,2359,31861,2,144,707,0,0,0,0,1,42,75,28,97.7,Excellent,2,0.11653182882691082,260,0.37333332835555566
TX_115,1450,13000,55800,157,278,3360,82,75,0,3,13.8,36,56,6,60,Fair,314,0.24262786715108708,2042,0.10714285522959188
TX_116,81,23790,64479,10,852,1371,0,0,0,5,0.06,47,74,4,80,Good,10,0.06852643434526078,943,0.05405405332359388
TX_117,67,5940,41600,14,930,4030,0,5,0,5,0.15,43,50,2,80,Good,19,0.18880893393751016,1016,0.03999999920000002
TX_118,1230,239,71300,61,576,11300,28,24,0,0,0.95,34,53,12,78.3,Good,113,0.23501989574034443,1919,0.22641509006763982
TX_119,54,1690,27100,8,554,3990,0,3,0,5,0.19,45,56,2,94.7,Excellent,11,0.15280718714628966,619,0.03571428507653063
TX_120,44,1735,41280,1,133,520,0,0,0,0,1,45,74,24,99,Excellent,1,0.09966024412745726,178,0.32432431994156324
TX_121,37,623,20300,21,888,3690,10,10,0,5,0.14,44,55,3,80,Good,41,0.16348560014351202,966,0.05454545355371903
TX_122,24,35700,85300,5,361,1570,0,0,0,0,0.09,40,55,7,97.2,Excellent,5,0.18553741532171214,390,0.12727272495867772
TX_123,24,1330,70800,12,771,2960,3,4,0,2,0.12,44,50,4,80,Good,19,0.18271397568559605,814,0.07999999840000004
TX_124,22,2820,53100,3,770,2390,3,0,0,11,0.37,43,43,5,80,Good,6,0.22714213650050027,798,0.11627906706327752
TX_125,20,2170,21300,6,307,1960,0,0,0,1,1.02,46,52,4,95.5,Excellent,6,0.1648491711699684,333,0.07692307544378701
TX_126,19,618,20200,15,184,586,2,4,0,0,0.36,47,47,3,96.2,Excellent,21,0.17634848422596477,224,0.06382978587596201
TX_127,8,10600,61600,23,226,4390,0,5,0,5,0.13,45,52,2,96,Excellent,28,0.16930980733312037,262,0.03846153772189351
TX_128,8,8710,71900,21,230,5050,0,4,0,10,0.2,43,55,3,92.7,Excellent,25,0.17361048852251584,263,0.05454545355371903
TX_129,7,4973,56032,21,200,4782,0,2,0,10,0.21,38,66,5,97.5,Excellent,23,0.1577680663966597,230,0.07575757460973372
TX_130,10,3350,51100,2,678,2360,0,0,0,5,0.24,44,56,4,97.2,Excellent,2,0.16068524045143534,690,0.07142857015306125
TX_131,9,909,32800,16,279,2820,0,3,0,5,0.12,45,49,3,93.8,Excellent,19,0.1828753624280111,307,0.06122448854643901
TX_132,7,8220,55800,18,236,2730,0,4,0,5,0.08,54,52,2,96,Excellent,22,0.1191731019332571,265,0.03846153772189351
TX_133,7,647,16900,8,152,528,0,0,0,5,0.11,45,47,3,96.2,Excellent,8,0.1911813546813718,167,0.06382978587596201
TX_134,7,1430,15400,4,221,268,0,0,0,5,1.58,46,48,2,93.2,Excellent,4,0.18438537504026703,232,0.041666665798611134
TX_135,7,2630,58800,2,784,1410,0,0,0,5,0.26,40,46,2,80,Good,2,0.22244301915054274,793,0.04347825992438566
TX_136,7,4520,22800,2,157,1080,0,0,0,5,1.55,46,49,7,93.2,Excellent,2,0.18560116600799934,166,0.14285713994169102
TX_137,6,8510,64300,13,291,2050,9,0,0,1,0.72,41,50,5,98.5,Excellent,22,0.20123294605676315,319,0.09999999800000005
TX_138,6,13300,36900,0,411,4160,0,0,0,0,1,41,52,55,90.7,Excellent,0,0.24742891443711118,417,1.0576922873520715
TX_139,6,6080,40900,5,893,2640,0,0,0,0,1,33,55,12,80,Good,5,0.2323788233624299,904,0.21818181421487612
TX_140,5,12300,70900,17,269,1880,3,5,0,5,0.12,45,48,2,96.2,Excellent,25,0.18594913291981435,299,0.041666665798611134
TX_141,5,12500,48400,3,534,3010,3,0,0,1,1,45,62,3,96.2,Excellent,6,0.12759048172404858,545,0.04838709599375652
TX_142,5,3686,57725,5,158,4331,6,1,0,5,1.41,39,49,19,90.8,Excellent,12,0.23722203387563168,175,0.3877550941274471
TX_143,5,15000,44400,0,230,399,0,0,0,0,0.71,48,57,4,98.5,Excellent,0,0.13117609597764904,235,0.07017543736534321
TX_144,4,279,20000,8,285,4230,0,4,0,2,0.22,44,55,3,96,Excellent,12,0.1610611569771259,301,0.05454545355371903
TX_145,4,13600,37500,3,443,5890,0,7,0,0,1,34,55,77,87.3,Good,10,0.2978615191729946,457,1.399999974545455
TX_146,4,17000,56700,1,408,936,0,0,0,5,0.54,47,48,5,94.9,Excellent,1,0.17926503569214508,413,0.10416666449652782
TX_147,3,20500,44000,0,35,290,0,0,0,1,1,47,48,5,96.2,Excellent,0,0.17699849629599754,38,0.10416666449652782
TX_148,3,17400,56700,3,362,2230,4,0,0,1,1.02,44,48,3,91.9,Excellent,7,0.19153405277288277,372,0.0624999986979167
TX_149,3,2020,59600,6,1070,2950,0,0,0,5,0.39,42,51,3,80,Good,6,0.19194690492060626,1079,0.05882352825836219
TX_150,3,22900,48000,0,201,2320,5,0,0,3,0.1,45,51,4,98.5,Excellent,5,0.1738181285721509,209,0.0784313710111496
TX_151,3,23700,49800,0,202,3290,8,0,0,2,0.1,46,56,4,96,Excellent,8,0.1465481824145396,213,0.07142857015306125
TX_152,3,21700,43200,0,129,1530,0,0,0,1,1.59,35,54,21,94.5,Excellent,0,0.2377646254788653,132,0.38888888168724295
TX_153,3,19500,42800,0,209,2650,30,0,0,0,0.78,40,43,23,92.8,Excellent,30,0.2549102886376398,242,0.5348837084910766
TX_154,3,18400,45000,0,128,1700,28,0,0,5,1.7,35,55,12,95.5,Excellent,28,0.22758687419301724,159,0.21818181421487612
TX_155,3,14900,56700,0,163,458,0,0,0,0,0.13,44,50,3,98.5,Excellent,0,0.17988630605326036,166,0.05999999880000003
TX_156,3,12000,35800,0,195,283,0,0,0,0,0.59,48,55,4,98.5,Excellent,0,0.1391813363513105,198,0.0727272714049587
TX_157,2,24978,76582,2,19,498,0,0,0,0,1,48,55,4,98.5,Excellent,2,0.1403023206301895,23,0.0727272714049587
TX_158,2,15900,51300,4,359,2250,0,0,0,0,0.23,43,49,3,94.9,Excellent,4,0.18988193907520914,365,0.06122448854643901
TX_159,2,24800,54600,3,216,3260,9,0,0,4,0.08,46,54,6,96,Excellent,12,0.1587747404750993,230,0.11111110905349798
TX_160,0,24600,50800,0,31,907,9,0,0,1,1.05,41,53,8,95.5,Excellent,9,0.19291389022045105,40,0.15094339337842655
TX_161,0,5010,51800,4,262,845,0,0,0,5,0.41,45,52,3,98.5,Excellent,4,0.17116825374721822,266,0.05769230658284026
TX_162,0,7520,38100,5,297,778,0,3,0,5,0.39,44,47,2,96.2,Excellent,8,0.1964095643012984,305,0.04255319058397467
TX_163,0,839,20700,4,458,2830,0,0,0,1,0.46,41,47,2,92.4,Excellent,4,0.20974338945288382,462,0.04255319058397467
TX_164,0,1565,9555,0,111,417,0,0,0,5,0.26,42,75,7,100,Excellent,0,0.09596305558041524,111,0.09333333208888892
TX_165,0,22200,47200,2,223,2650,10,0,0,4,0.25,45,55,6,96,Excellent,12,0.16062842772352337,235,0.10909090710743806
TX_166,0,21800,47300,0,249,2510,7,0,0,2,0.27,44,49,4,93.8,Excellent,7,0.18729075855185257,256,0.08163265139525201
TX_167,0,22900,49800,0,205,2190,5,0,0,2,0.09,50,50,5,98.5,Excellent,5,0.1503915152872081,210,0.09999999800000005
TX_168,0,26600,62500,2,209,2190,6,0,0,2,0.07,46,52,4,98.5,Excellent,8,0.16313282584128824,217,0.07692307544378701
TX_169,0,3300,12200,0,118,270,0,0,0,1,1,45,56,3,98.5,Excellent,0,0.15259048172404857,118,0.05357142761479594
TX_170,0,1850,61700,0,43,554,0,0,0,0,3.93,51,51,5,92.5,Excellent,0,0.14940615323704196,43,0.09803921376393698
TX_171,0,27200,58900,0,100,609,0,0,0,0,1.93,38,52,8,95.5,Excellent,0,0.21527218132265585,100,0.15384615088757403
TX_172,0,24400,47700,0,51,458,0,0,0,5,0.32,46,56,4,98.5,Excellent,0,0.1497928579801055,51,0.07142857015306125
TX_173,0,25200,50000,0,67,462,0,0,0,5,0.31,48,54,3,98.5,Excellent,0,0.14589484294749164,67,0.05555555452674899
TX_174,11,478,19400,11,196,1900,3,5,0,5,0.37,43,42,2,96.2,Excellent,19,0.22274377103024195,226,0.0476190464852608
TX_175,17,5680,59500,16,809,3590,11,0,0,5,0.35,42,50,3,80,Good,27,0.1960042072673823,853,0.05999999880000003
TX_176,12,15200,62800,4,413,4720,5,0,0,5,0.53,44,56,14,94.7,Excellent,9,0.17240709351927633,434,0.24999999553571436
TX_177,12,4350,65500,11,870,11100,16,8,0,5,0.5,41,56,10,80,Good,35,0.18462015224657144,917,0.17857142538265314
TX_178,178,4070,27300,144,672,2260,3,10,0,0,1,41,58,12,80,Good,157,0.17543437891798547,1007,0.20689654815695607
TX_179,10,11900,55100,2,403,1140,6,0,2,0,1,41,30,23,88.8,Good,8,0.3041229035081494,423,0.7666666411111119
TX_180,4,5040,37600,4,597,1440,4,3,2,0,1,41,56,27,94.8,Excellent,11,0.20016115487426966,614,0.4821428485331634
TX_181,0,14908,42800,0,52,620,0,0,2,0,0.78,39,60,7,97.2,Excellent,0,0.1721461720620478,54,0.11666666472222226
TX_182,9,578,29200,35,267,1610,52,17,0,0,0.53,42,50,4,97.2,Excellent,104,0.19318395653814122,380,0.07999999840000004
TX_183,17,3960,36100,29,113,4420,3,5,0,5,0.15,45,54,2,96,Excellent,37,0.16103115615973235,167,0.037037036351165994
TX_184,14,2380,67400,78,372,1850,33,1850,0,0,5.56,36,43,27,60,Fair,1961,0.29457313178624656,2347,0.6279069621416986
TX_185,478,9460,64700,21,54,323,0,4,0,0,1,36,43,27,92.6,Excellent,25,0.2821055993187141,557,0.6279069621416986
TX_186,14,514,70600,11,674,11700,13,5,1,0,0.62,42,45,21,88.1,Good,29,0.23284259456390605,718,0.46666665629629656
TX_187,13,12300,43400,0,309,908,0,0,0,0,1,42,47,26,95.2,Excellent,0,0.23101270314385075,322,0.5531914775916708
TX_188,13,6680,59700,2,236,857,0,0,0,0,0.12,42,57,4,98.5,Excellent,2,0.16289630559259552,251,0.07017543736534321
TX_189,13,283,60700,3,33,649,0,80,0,0,2.93,32,54,19,91.2,Excellent,83,0.25502814724341905,129,0.35185184533607694
TX_190,13,3430,16300,3,220,1280,0,0,0,1,1.07,46,53,3,95.5,Excellent,3,0.15972631372830165,236,0.056603772516909956
TX_191,13,309,55000,10,121,3340,15,71,0,0,1,31,58,43,91.7,Excellent,96,0.2648697158943061,230,0.7413792975624259
TX_192,14,1170,50900,4,72,1120,3,100,0,0,1,33,60,29,96.2,Excellent,107,0.23012472500177417,193,0.48333332527777795
TX_193,14,27000,56100,0,27,397,0,0,0,5,1,43,53,7,98.5,Excellent,0,0.1840974066095031,41,0.13207546920612323
TX_194,14,437,55000,2,20,645,0,44,0,0,2.37,32,53,33,90.5,Excellent,46,0.27296425987970424,80,0.6226414976860095
TX_195,14,248,44600,2,35,532,3,73,0,0,3.23,31,56,26,90.2,Excellent,78,0.26072087508886477,127,0.4642857059948981
TX_196,14,305,54800,2,35,517,0,60,0,0,2.95,32,57,23,91.5,Excellent,62,0.24695441410281788,111,0.40350876485072346
TX_197,14,2690,10300,3,155,735,0,0,0,0,0.28,47,54,2,98.5,Excellent,3,0.14587019274465346,172,0.037037036351165994
TX_198,5,7930,49900,5,709,2310,5,0,1,0,1,47,54,36,80,Good,10,0.1849972204480401,725,0.6666666543209879
TX_199,7,6150,19400,3,320,785,6,0,1,0,1,32,56,19,98.5,Excellent,9,0.24141798547536256,337,0.33928570822704096
TX_200,15,18300,52900,4,266,630,13,3,1,0,1,33,52,31,96.5,Excellent,20,0.2656438506848343,302,0.5961538346893493
TX_201,227,9987,37210,11,122,2942,8,26,0,1,2.54,38,52,20,86.3,Good,45,0.23093579856807117,394,0.3846153772189351
TX_202,114,7840,70100,2,258,1250,0,0,0,0,1,38,54,25,96.2,Excellent,2,0.22297536252454284,374,0.46296295438957497
TX_203,104,163,49800,5,40,579,17,274,0,0,1,32,53,24,93.5,Excellent,296,0.2593824663496795,440,0.45283018013527965
